locality_id,locality_code,locality_name_he,locality_name_en,result_status,result_elections,missing_elections,west_bank_code_range,function_codes,reviewed_display_rule,review_note,explanation_review_status,explanation_category,cbs_2022_name,cbs_2022_form_code,cbs_2022_form,cbs_2022_population,evidence_election,evidence_eligible_voters,joined_host_locality_code,joined_host_locality_name,joined_host_kalpi,explanation_note
loc:21,21,באר אורה,BE'ER ORA,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:88,88,כרם בן שמן,KEREM BEN SHEMEN,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,כרם בן שמן,350,other rural Jewish,96,K19,62,1084,בן שמן (כפר נוער),1,K19 polling list 175 + 62 = published host result 237.
loc:212,212,בית צבי,BET ZEVI,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,5,,,,,,,,,,,,,,
loc:328,328,עזוז,EZUZ,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,עזוז,370,community settlement,86,K19,42,1280,ניצני סיני,1,K19 polling list 160 + באר מילכה 43 + עזוז 42 = published host result 245.
loc:353,353,בית זיד,BET ZEID,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:371,371,כדורי,KADOORIE,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,joined_exact,כדורי,340,institutional Jewish,209,K19,60,47,כפר תבור,2,K19 polling list 571 + 60 = published host result 631.
loc:392,392,קדמה,QEDMA,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,joined_exact,קדמה,510,place,,K19,31,553,ניר בנים,1,K19 polling list 480 + 31 = published host result 511.
loc:412,412,קריית שלמה,QIRYAT SHELOMO,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,קריית שלמה,340,institutional Jewish,374,K19,9,1024,חרוצים,1,K19 polling list 543 + 9 = published host result 552.
loc:483,483,בענה,BI'NE,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:490,490,דייר אל-אסד,DEIR AL-ASAD,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:493,493,דייר ראפאת,DEIR RAFAT,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,joined_exact,דייר ראפאת,440,institutional non-Jewish,97,K19,40,567,צרעה,1,K19 polling list 365 + דייר ראפאת 40 + גבעת שמש 15 = published host result 420. K25 again points to צרעה.
loc:494,494,דאלית אל-כרמל,DALIYAT AL-KARMEL,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:516,516,מג'ד אל-כרום,MAJD AL-KURUM,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:534,534,עספיא,ISIFYA,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:566,566,גבעת שמש,GIV'AT SHEMESH,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,גבעת שמש,510,place,,K19,15,567,צרעה,1,K19 polling list 365 + דייר ראפאת 40 + גבעת שמש 15 = published host result 420.
loc:628,628,ג'ת,JATT,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:833,833,נורית,NURIT,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,1,,,,,,,,,,,,,,
loc:875,875,כפר עבודה,KEFAR AVODA,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,no_ordinary_voter_list,כפר עבודה,340,institutional Jewish,204,K17-K25,none,,,,No ordinary polling-list row was found in the normalized K17-K25 sources. CBS classifies it as institutional and historical government material identifies it as a residential youth institution; a missing adult locality register is therefore unsurprising.
loc:882,882,אורנים,ORANIM,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,joined_exact,אורנים,340,institutional Jewish,116,K19,6,2300,קריית טבעון,8,K19 polling list 560 + 6 = published host result 566.
loc:886,886,איתנים,ETANIM,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,joined_exact,איתנים,340,institutional Jewish,61,K19,6,465,צובה,1,K19 polling list 585 + 6 = published host result 591.
loc:890,890,כפר הנוער הדתי,KEFAR HANO'AR HADATI,partial,K17|K18|K19,K20|K21|K22|K23|K24|K25,no,5,,,,,,,,,,,,,,
loc:897,897,מדרשת רופין,MIDRESHET RUPPIN,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,מדרשת רופין,340,institutional Jewish,281,K19,8,387,כפר מונש,1,K19 polling list 310 + 8 = published host result 318.
loc:926,926,נווה אבות,NEWE AVOT,partial,K17|K18,K19|K20|K21|K22|K23|K24|K25,no,5,,,,,,,,,,,,,,
loc:1044,1044,יעף,YE'AF,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:1053,1053,עין חצבה,EN HAZEVA,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,עין חצבה,510,place,,K19,25,13,חצבה,1,K19 polling list 420 + עין חצבה 25 + עיר אובות 16 = published host result 461.
loc:1056,1056,"עין כרם-בי""ס חקלאי",EN KAREM-B.S.HAQLA'I,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,joined_exact,"עין כרם-בי""ס חקלאי",340,institutional Jewish,175,K19,18,3000,ירושלים,322,K19 polling list 725 + Jerusalem station 954 with 42 + the institution 18 = published host result 785.
loc:1057,1057,נווה זוהר,NEWE ZOHAR,partial,K17|K19|K20|K21|K22|K23|K24|K25,K18,no,1,,,,,,,,,,,,,,
loc:1076,1076,בית ברל,BET BERL,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,joined_exact,בית ברל,340,institutional Jewish,268,K19,52,198,צופית,2,K19 polling list 340 + 52 = published host result 392.
loc:1111,1111,צופייה,ZOFIYYA,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,no_ordinary_voter_list,צופייה,510,place,,K17-K25,none,,,,CBS classifies this as a place without a separate 2022 population and no ordinary polling-list row was found in K17-K25. Official planning material identifies Maon Zofiyya as a Youth Protection residence for girls; a missing adult locality register is therefore unsurprising.
loc:1117,1117,יעל,YA'EL,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,יעל,510,place,,K19,20,2053,פרזון,1,K19 polling list 278 + 20 = published host result 298.
loc:1134,1134,יד השמונה,YAD HASHEMONA,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,1,,,,,,,,,,,,,,
loc:1143,1143,נס עמים,NES AMMIM,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,1,,,,,,,,,,,,,,
loc:1144,1144,ידידה,YEDIDA,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,no_ordinary_voter_list,ידידה,340,institutional Jewish,222,K17-K25,none,,,,No ordinary polling-list row was found in the normalized K17-K25 sources. It is a residential institution for adults with special needs. The available election data does not explain whether residents remain registered elsewhere or are handled through another aggregate; its CBS population is not evidence of a separate locality result.
loc:1153,1153,כישור,KISHOR,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:1154,1154,מלכישוע,MALKISHUA,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,joined_exact,מיטל,340,institutional Jewish,188,K19,6,9200,בית שאן,17,K19 polling list 644 + 6 = published host result 650. CBS 2022 calls code 1154 מיטל while the geometry and election-era source call it מלכישוע.
loc:1185,1185,פלך,PELEKH,partial,K24|K25,K17|K18|K19|K20|K21|K22|K23,no,1,,,,,,,,,,,,,,
loc:1187,1187,עיר אובות,IR OVOT,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,עיר אובות,510,place,,K19,16,13,חצבה,1,K19 polling list 420 + עין חצבה 25 + עיר אובות 16 = published host result 461.
loc:1195,1195,ניצנה (קהילת חינוך),NIZZANA (QEHILAT HINUH),partial,K17|K20|K21|K22|K23|K24|K25,K18|K19,no,5,,,,,,,,,,,,,,
loc:1196,1196,מחנה יתיר,MAHANE YATTIR,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,מחנה יתיר,350,other rural Jewish,306,K19,44,1261,הר עמשא,1,K19 polling list 49 + מחנה יתיר 44 + יתיר 16 = published host result 109.
loc:1198,1198,כרמים,KERAMIM,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:1211,1211,קדרים,QADDARIM,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:1213,1213,צבעון,ZIV'ON,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,1,,,,,,,,,,,,,,
loc:1225,1225,רביד,RAVID,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,רביד,330,kibbutz,108,K19,99,1258,מסד,1,K19 polling list 281 + 99 = published host result 380.
loc:1239,1239,חולית,HOLIT,partial,K18|K19|K20|K21|K22|K23|K24|K25,K17,no,1,,,,,,,,,,,,,,
loc:1248,1248,אליפז,ELIFAZ,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,1,,,,,,,,,,,,,,
loc:1251,1251,עין תמר,EN TAMAR,partial,K18|K19|K20|K21|K22|K23|K24|K25,K17,no,1,,,,,,,,,,,,,,
loc:1257,1257,חנתון,HANNATON,partial,K18|K19|K20|K21|K22|K23|K24|K25,K17,no,1,,,,,,,,,,,,,,
loc:1260,1260,רתמים,RETAMIM,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:1261,1261,הר עמשא,HAR AMASA,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:1262,1262,צוקים,ZUQIM,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:1265,1265,שומרייה,SHOMERIYYA,partial,K18|K19|K20|K21|K22|K23|K24|K25,K17,no,1,,,,,,,,,,,,,,
loc:1266,1266,שחרות,SHAHARUT,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,1,,,,,,,,,,,,,,
loc:1267,1267,שיטים,SHITTIM,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,שיטים,510,place,,K19,5,1197,נאות סמדר,1,K19 polling list 146 + שחרות 77 + שיטים 5 + נווה חריף 81 = published host result 309.
loc:1276,1276,אשבל,ESHBAL,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,אשבל,330,kibbutz,141,K19,66,1188,אשחר,1,K19 polling list 371 + 66 = published host result 437.
loc:1278,1278,באר מילכה,BE'ER MILKA,partial,K24|K25,K17|K18|K19|K20|K21|K22|K23,no,1,,,,,,,,,,,,,,
loc:1279,1279,נווה חריף,NEWE HARIF,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,נווה חריף,330,kibbutz,111,K19,81,1197,נאות סמדר,1,K19 polling list 146 + שחרות 77 + שיטים 5 + נווה חריף 81 = published host result 309.
loc:1280,1280,ניצני סיני,NIZZANE SINAY,partial,K18|K19|K20|K21|K22|K23|K24|K25,K17,no,1,,,,,,,,,,,,,,
loc:1291,1291,כמהין,KEMEHIN,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:1316,1316,אל -עריאן,AL-ARYAN,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:1318,1318,מבואות ים,MEVO'OT YAM,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,joined_exact,מבואות ים,340,institutional Jewish,445,K19,27,382,מכמורת,1,K19 polling list 474 + 27 = published host result 501.
loc:1320,1320,עין חוד,EIN HOD,partial,K18|K19|K20|K21|K22|K23|K24|K25,K17,no,1,,,,,,,,,,,,,,
loc:1322,1322,הודיות,HODAYOT,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,joined_exact,הודיות,340,institutional Jewish,329,K19,33,585,לביא,1,K19 polling list 484 + 33 = published host result 517.
loc:1324,1324,ארסוף,ARSUF,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,1,,,,,,,,,,,,,,
loc:1325,1325,כפר זוהרים,KEFAR ZOHARIM,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,strong,joined_source_location,כפר זוהרים,340,institutional Jewish,155,K20|K25,20,1114,שריגים (לי-און),1,K20 explicitly places its attached row at שריגים and K25 lists only 20 eligible voters with no standalone result.
loc:1335,1335,ערב אל נעים,ARAB AL NAIM,partial,K18|K19|K20|K21|K22|K23|K24|K25,K17,no,1,,,,,,,,,,,,,,
loc:1336,1336,אירוס,IRUS,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,1,,,,,,,,,,,,,,
loc:1338,1338,כדיתה,KADDITA,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:1339,1339,אל -עזי,AL-AZY,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,confirmed,joined_exact,אל -עזי,450,other rural non-Jewish,200,K19,72,274,כפר מנחם,1,K19 polling list 758 + 72 = published host result 830. In K25 the 92-person register is instead visible in ינון station 1 approximately 355 + 92 = 445 after register updates.
loc:1340,1340,מרחב עם,MERHAV AM,partial,K20|K21|K22|K23|K24|K25,K17|K18|K19,no,1,,,,,,,,,,,,,,
loc:1341,1341,רוח מדבר,RUAH MIDBAR,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,strong,joined_source_location,רוח מדבר,340,institutional Jewish,57,K20,blank,1177,טללים,1,K20 explicitly places its attached zero/blank-count row at טללים. It has no K25 voter-list row.
loc:1343,1343,מכחול,MAKCHUL,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:1344,1344,גבעות בר,GEVA'OT BAR,partial,K18|K19|K20|K21|K22|K23|K24|K25,K17,no,1,,,,,,,,,,,,,,
loc:1345,1345,צור יצחק,ZUR YIZHAQ,partial,K18|K19|K20|K21|K22|K23|K24|K25,K17,no,1,,,,,,,,,,,,,,
loc:1346,1346,תרבין א-צאנע (יישוב)*,TARABIN AS-SANI,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:1348,1348,ביר הדאג',BIR HADAGE,partial,K18|K19|K20|K21|K22|K23|K24|K25,K17,no,1,,,,,,,,,,,,,,
loc:1360,1360,סעוה,SA'WA,partial,K20|K21|K22|K23|K24|K25,K17|K18|K19,no,1,,,,,,,,,,,,,,
loc:1361,1361,בת חן,BAT HEN,partial,K18|K19|K20|K21|K22|K23|K24|K25,K17,no,1,,,,,,,,,,,,,,
loc:1363,1363,בני נצרים,BNE NETSARIM,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:1364,1364,שלומית,SHLOMIT,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,1,,,,,,,,,,,,,,
loc:1365,1365,אליאב,ELIAV,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,1,,,,,,,,,,,,,,
loc:1366,1366,נווה,NAVE,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:1367,1367,כחלה,KOCHLEA,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,1,,,,,,,,,,,,,,
loc:1368,1368,בני דקלים,BNE DEQALIM,partial,K20|K21|K22|K23|K24|K25,K17|K18|K19,no,1,,,,,,,,,,,,,,
loc:1369,1369,נטע,NETA,partial,K20|K21|K22|K23|K24|K25,K17|K18|K19,no,1,,,,,,,,,,,,,,
loc:1370,1370,מצפה אילן,MITSPE ILAN,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:1371,1371,גני טל,GANNE TAL,partial,K20|K21|K22|K23|K24|K25,K17|K18|K19,no,1,,,,,,,,,,,,,,
loc:1372,1372,נצר חזני,NEZER HAZZANI,partial,K20|K21|K22|K23|K24|K25,K17|K18|K19,no,1,,,,,,,,,,,,,,
loc:1373,1373,שלווה במדבר,SHALVA BAMIDBAR,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,joined_exact,שלווה במדבר,510,place,,K19,7,1140,מדרשת בן גוריון,1,K19 polling list 463 + 7 = published host result 470.
loc:1374,1374,כרמי קטיף,KARME KATIF,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,1,,,,,,,,,,,,,,
loc:1375,1375,אבו תלול,ABU TULUL,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,1,,,,,,,,,,,,,,
loc:1376,1376,באר גנים,BE'ER GANNIM,partial,K20|K21|K22|K23|K24|K25,K17|K18|K19,no,1,,,,,,,,,,,,,,
loc:1377,1377,שבי דרום,SHAVE DAROM,partial,K25,K17|K18|K19|K20|K21|K22|K23|K24,no,1,,,,,,,,,,,,,,
loc:1378,1378,שיזף,SHEZAF,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,strong,joined_under_100_inferred,שיזף,370,community settlement,130,K25,45,1177,טללים,1,K25 lists 45 eligible voters and no standalone result. Nearby טללים station 1 rises from 401 in the July plan to 455 in the result.
loc:1419,1419,ניצן ב',NIZZAN B,partial,K18|K19|K20|K21|K22|K23|K24|K25,K17,no,1,,,,,,,,,,,,,,
loc:2006,2006,כנות,KANNOT,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,joined_exact,כנות,340,institutional Jewish,364,K19,41,827,נווה מבטח,1,K19 polling list 404 + בת חצור 24 + כנות 41 = published host result 469.
loc:2039,2039,קריית יערים (מוסד),QIRYAT YE'ARIM(INSTITUTE),none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,5,,,confirmed,joined_exact,קריית יערים (מוסד),340,institutional Jewish,175,K19,23,1137,קריית יערים,2,K19 polling list 494 + 23 = published host result 517.
loc:3620,3620,נערן,NA'ARAN,partial,K17|K18|K19|K20|K21,K22|K23|K24|K25,yes,1,"K17-K21: Hebrew name=נירן, English name=NIRAN",Historical election name for the 2022 locality named נערן.,,,,,,,,,,,,
loc:3646,3646,חמדת,HEMDAT,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,yes,1,,,,,,,,,,,,,,
loc:3720,3720,שערי תקווה,SHA'ARE TIQWA,partial,K17|K18|K19|K20|K21|K22|K23|K24,K25,yes,1,,,,,,,,,,,,,,
loc:3724,3724,נגוהות,NEGOHOT,partial,K20|K21|K22|K23|K24|K25,K17|K18|K19,yes,1,,,,,,,,,,,,,,
loc:3744,3744,ברוכין,BRUKHIN,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,yes,1,,,,,,,,,,,,,,
loc:3777,3777,סנסנה,SANSANA,partial,K17|K20|K21|K22|K23|K24|K25,K18|K19,yes,1,,,,,,,,,,,,,,
loc:3778,3778,עץ אפרים,EZ EFRAYIM,partial,K17|K18|K19|K20|K21|K22|K23|K24,K25,yes,1,,,,,,,,,,,,,,
loc:3782,3782,רותם,ROTEM,partial,K24|K25,K17|K18|K19|K20|K21|K22|K23,yes,1,,,,,,,,,,,,,,
loc:3785,3785,משכיות,MASKIYYOT,partial,K22|K23|K24|K25,K17|K18|K19|K20|K21,yes,1,,,,,,,,,,,,,,
loc:3786,3786,אבנת,AVENAT,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,yes,1,K17-K25: hidden,No standalone K17-K25 result; reviewed as non-independent before 2025 and hidden without deleting its 2022 geometry.,confirmed,joined_exact,אבנת,370,community settlement,249,K19,36,3601,קליה,1,K19 polling list 259 + 36 = published host result 295. The polygon is already reviewed as hidden for K17-K25.
loc:3822,3822,רחלים,REHELIM,partial,K20|K21|K22|K23|K24|K25,K17|K18|K19,yes,1,,,,,,,,,,,,,,
loc:3823,3823,גני מודיעין,GANNE MODI'IN,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,yes,1,K17-K20: joined to 3797,Part of Modi'in Illit until 2016; joined without duplicating votes.,confirmed,joined_historical_membership,,,,,K17|K18|K19|K20,,3797,מודיעין עילית,,Official historical municipal membership supports the same host in K17-K20.
loc:3824,3824,עמיחי,AMMIHAY,partial,K21|K22|K23|K25,K17|K18|K19|K20|K24,yes,1,,,,,,,,,,,,,,
loc:3825,3825,מבואות יריחו,MEVO'OT YERIHO,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,yes,1,K17-K25: hidden,"No standalone K17-K25 result; independent only from September 2019 and reviewed as included with ייט""ב where applicable.",strong,joined_under_100_inferred,מבואות יריחו,370,community settlement,308,K25,81,3607,"ייט""ב",1,"K25 lists 81 eligible voters and no standalone result. Nearby ייט""ב station 1 rises from 184 in the July plan to 270 in the result. The polygon is already reviewed as hidden."
loc:4014,4014,נטור,NATUR,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
loc:4019,4019,מיצר,MEZAR,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,1,,,,,,,,,,,,,,
loc:4024,4024,קלע,QELA,partial,K18|K19|K20|K21|K22|K23|K24|K25,K17,no,1,,,,,,,,,,,,,,
loc:4035,4035,נמרוד,NIMROD,none,,K17|K18|K19|K20|K21|K22|K23|K24|K25,no,1,,,strong,joined_under_100_inferred,נמרוד,510,place,,K25,19,4303,"נווה אטי""ב",1,"K25 lists 19 eligible voters and no standalone result. Nearest ordinary host נווה אטי""ב station 1 rises from 164 in the July plan to 180 in the result."
loc:4502,4502,עין קנייא,EIN QINIYYE,partial,K21|K22|K23|K24|K25,K17|K18|K19|K20,no,1,,,,,,,,,,,,,,
loc:6000,6000,באקה אל-גרביה,BAQA AL-GHARBIYYE,partial,K19|K20|K21|K22|K23|K24|K25,K17|K18,no,1,,,,,,,,,,,,,,
