geography_id,geography_type,geography_package,geometry_archive,composite_locality_id,elections,source_locality_name,name_he,name_en,component_locality_codes,display_mode,note,composite_kind,host_locality_code,host_kalpi,evidence_status,evidence_method,included_locality_names_he,included_locality_names_en,component_locality_ids
composite:baqa-jatt,composite_locality,composite_localities,geographies/composite_localities.zip,composite:baqa-jatt,K17|K18,באקה-ג'ת,באקה-ג'ת,Baqa-Jatt,6000|628,polygon,Historical municipality represented by the union of its 2022 component localities.,historical_municipality,,,confirmed,reviewed_historical_municipality,,,loc:6000|loc:628
composite:ir-carmel,composite_locality,composite_localities,geographies/composite_localities.zip,composite:ir-carmel,K17|K18,עיר כרמל,עיר כרמל,Carmel City,494|534,polygon,Historical municipality represented by the union of its 2022 component localities.,historical_municipality,,,confirmed,reviewed_historical_municipality,,,loc:494|loc:534
composite:shaghur,composite_locality,composite_localities,geographies/composite_localities.zip,composite:shaghur,K17|K18,שגור,שגור,Shaghur,483|490|516,polygon,Historical municipality represented by the union of its 2022 component localities.,historical_municipality,,,confirmed,reviewed_historical_municipality,,,loc:483|loc:490|loc:516
composite:shaar-shomron,composite_locality,composite_localities,geographies/composite_localities.zip,composite:shaar-shomron,K25,שער שומרון,שער שומרון,Sha'ar Shomron,3720|3778,polygon,Current composite municipality represented by the union of the two component localities in the 2022 layer.,historical_municipality,,,confirmed,reviewed_historical_municipality,,,loc:3720|loc:3778
composite:joined-k19-13,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-13,K19,חצבה,חצבה,HAZEVA,13|1053|1187,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,13,1,confirmed,exact_eligible_arithmetic,עין חצבה|עיר אובות,EN HAZEVA|IR OVOT,loc:13|loc:1053|loc:1187
composite:joined-k19-23,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-23,K19,אמציה,אמציה,AMAZYA,23|1368|1369,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,23,,confirmed,exact_eligible_arithmetic,בני דקלים|נטע,BNE DEQALIM|NETA,loc:23|loc:1368|loc:1369
composite:joined-k19-47,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-47,K19,כפר תבור,כפר תבור,KEFAR TAVOR,47|371,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,47,2,confirmed,exact_eligible_arithmetic,כדורי,KADOORIE,loc:47|loc:371
composite:joined-k19-107,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-107,K19,כפר סילבר,כפר סילבר,KEFAR SILVER,107|1376,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,107,,confirmed,exact_eligible_arithmetic,באר גנים,BE'ER GANNIM,loc:107|loc:1376
composite:joined-k19-198,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-198,K19,צופית,צופית,ZOFIT,198|1076,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,198,2,confirmed,exact_eligible_arithmetic,בית ברל,BET BERL,loc:198|loc:1076
composite:joined-k19-247,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-247,K19,רשפון,רשפון,RISHPON,247|1324,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,247,,confirmed,exact_eligible_arithmetic,ארסוף,ARSUF,loc:247|loc:1324
composite:joined-k19-274,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-274,K19,כפר מנחם,כפר מנחם,KEFAR MENAHEM,274|1339,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,274,1,confirmed,exact_eligible_arithmetic,אל -עזי,AL-AZY,loc:274|loc:1339
composite:joined-k19-363,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-363,K19,חפץ חיים,חפץ חיים,HAFEZ HAYYIM,363|1371,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,363,,confirmed,exact_eligible_arithmetic,גני טל,GANNE TAL,loc:363|loc:1371
composite:joined-k19-382,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-382,K19,מכמורת,מכמורת,MIKHMORET,382|1318,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,382,1,confirmed,exact_eligible_arithmetic,מבואות ים,MEVO'OT YAM,loc:382|loc:1318
composite:joined-k19-387,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-387,K19,כפר מונש,כפר מונש,KEFAR MONASH,387|897,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,387,1,confirmed,exact_eligible_arithmetic,מדרשת רופין,MIDRESHET RUPPIN,loc:387|loc:897
composite:joined-k19-390,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-390,K19,רגבה,רגבה,REGBA,390|1143,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,390,,confirmed,exact_eligible_arithmetic,נס עמים,NES AMMIM,loc:390|loc:1143
composite:joined-k19-405,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-405,K19,נווה אילן,נווה אילן,NEWE ILAN,405|1134,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,405,,confirmed,exact_eligible_arithmetic,יד השמונה,YAD HASHEMONA,loc:405|loc:1134
composite:joined-k19-440,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-440,K19,יסודות,יסודות,YESODOT,440|1372,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,440,,confirmed,exact_eligible_arithmetic,נצר חזני,NEZER HAZZANI,loc:440|loc:1372
composite:joined-k19-442,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-442,K19,גדעונה,גדעונה,GID'ONA,442|833,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,442,,confirmed,exact_eligible_arithmetic,נורית,NURIT,loc:442|loc:833
composite:joined-k19-465,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-465,K19,צובה,צובה,ZOVA,465|886,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,465,1,confirmed,exact_eligible_arithmetic,איתנים,ETANIM,loc:465|loc:886
composite:joined-k19-553,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-553,K19,ניר בנים,ניר בנים,NIR BANIM,553|392,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,553,1,confirmed,exact_eligible_arithmetic,קדמה,QEDMA,loc:553|loc:392
composite:joined-k19-567,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-567,K19,צרעה,צרעה,ZOR'A,567|493|566,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,567,1,confirmed,exact_eligible_arithmetic,דייר ראפאת|גבעת שמש,DEIR RAFAT|GIV'AT SHEMESH,loc:567|loc:493|loc:566
composite:joined-k19-578,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-578,K19,סאסא,סאסא,SASA,578|1213,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,578,,confirmed,exact_eligible_arithmetic,צבעון,ZIV'ON,loc:578|loc:1213
composite:joined-k19-585,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-585,K19,לביא,לביא,LAVI,585|1322,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,585,1,confirmed,exact_eligible_arithmetic,הודיות,HODAYOT,loc:585|loc:1322
composite:joined-k19-689,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-689,K19,מגדים,מגדים,MEGADIM,689|212,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,689,,confirmed,exact_eligible_arithmetic,בית צבי,BET ZEVI,loc:689|loc:212
composite:joined-k19-827,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-827,K19,נווה מבטח,נווה מבטח,NEWE MIVTAH,827|2006,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,827,1,confirmed,exact_eligible_arithmetic,כנות,KANNOT,loc:827|loc:2006
composite:joined-k19-885,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-885,K19,שדה בוקר,שדה בוקר,SEDE BOQER,885|1340,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,885,,confirmed,exact_eligible_arithmetic,מרחב עם,MERHAV AM,loc:885|loc:1340
composite:joined-k19-1024,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-1024,K19,חרוצים,חרוצים,HARUZIM,1024|412,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,1024,1,confirmed,exact_eligible_arithmetic,קריית שלמה,QIRYAT SHELOMO,loc:1024|loc:412
composite:joined-k19-1084,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-1084,K19,בן שמן (כפר נוער),בן שמן (כפר נוער),BEN SHEMEN(K.NO'AR),1084|88,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,1084,1,confirmed,exact_eligible_arithmetic,כרם בן שמן,KEREM BEN SHEMEN,loc:1084|loc:88
composite:joined-k19-1137,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-1137,K19,קריית יערים,קריית יערים,QIRYAT YE'ARIM,1137|2039,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,1137,2,confirmed,exact_eligible_arithmetic,קריית יערים (מוסד),QIRYAT YE'ARIM(INSTITUTE),loc:1137|loc:2039
composite:joined-k19-1140,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-1140,K19,מדרשת בן גוריון,מדרשת בן גוריון,MIDRESHET BEN GURION,1140|1373,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,1140,1,confirmed,exact_eligible_arithmetic,שלווה במדבר,SHALVA BAMIDBAR,loc:1140|loc:1373
composite:joined-k19-1156,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-1156,K19,סמר,סמר,SAMAR,1156|1248,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,1156,,confirmed,exact_eligible_arithmetic,אליפז,ELIFAZ,loc:1156|loc:1248
composite:joined-k19-1172,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-1172,K19,תובל,תובל,TUVAL,1172|1185,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,1172,,confirmed,exact_eligible_arithmetic,פלך,PELEKH,loc:1172|loc:1185
composite:joined-k19-1188,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-1188,K19,אשחר,אשחר,ESHHAR,1188|1276,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,1188,1,confirmed,exact_eligible_arithmetic,אשבל,ESHBAL,loc:1188|loc:1276
composite:joined-k19-1197,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-1197,K19,נאות סמדר,נאות סמדר,NE'OT SMADAR,1197|1266|1267|1279,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,1197,1,confirmed,exact_eligible_arithmetic,שחרות|שיטים|נווה חריף,SHAHARUT|SHITTIM|NEWE HARIF,loc:1197|loc:1266|loc:1267|loc:1279
composite:joined-k19-1233,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-1233,K19,שקף,שקף,SHEQEF,1233|3724,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,1233,,confirmed,exact_eligible_arithmetic,נגוהות,NEGOHOT,loc:1233|loc:3724
composite:joined-k19-1258,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-1258,K19,מסד,מסד,MASSAD,1258|1225,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,1258,1,confirmed,exact_eligible_arithmetic,רביד,RAVID,loc:1258|loc:1225
composite:joined-k19-1261,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-1261,K19,הר עמשא,הר עמשא,HAR AMASA,1261|1196,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,1261,1,confirmed,exact_eligible_arithmetic,מחנה יתיר,MAHANE YATTIR,loc:1261|loc:1196
composite:joined-k19-1280,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-1280,K19,ניצני סיני,ניצני סיני,NIZZANE SINAY,1280|328|1278,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,1280,1,confirmed,exact_eligible_arithmetic,עזוז|באר מילכה,EZUZ|BE'ER MILKA,loc:1280|loc:328|loc:1278
composite:joined-k19-1291,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-1291,K19,כמהין,כמהין,KEMEHIN,1291|1195,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,1291,,confirmed,exact_eligible_arithmetic,ניצנה (קהילת חינוך),NIZZANA (QEHILAT HINUH),loc:1291|loc:1195
composite:joined-k19-1366,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-1366,K19,נווה,נווה,NAVE,1366|1364,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,1366,,confirmed,exact_eligible_arithmetic,שלומית,SHLOMIT,loc:1366|loc:1364
composite:joined-k19-2053,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-2053,K19,פרזון,פרזון,PERAZON,2053|1117,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,2053,1,confirmed,exact_eligible_arithmetic,יעל,YA'EL,loc:2053|loc:1117
composite:joined-k19-2300,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-2300,K19,קריית טבעון,קריית טבעון,QIRYAT TIV'ON,2300|882,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,2300,8,confirmed,exact_eligible_arithmetic,אורנים,ORANIM,loc:2300|loc:882
composite:joined-k19-3000,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-3000,K19,ירושלים,ירושלים,JERUSALEM,3000|1056,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,3000,322,confirmed,exact_eligible_arithmetic,"עין כרם-בי""ס חקלאי",EN KAREM-B.S.HAQLA'I,loc:3000|loc:1056
composite:joined-k19-3599,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-3599,K19,מחולה,מחולה,MEHOLA,3599|3782|3785,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,3599,,confirmed,exact_eligible_arithmetic,רותם|משכיות,ROTEM|MASKIYYOT,loc:3599|loc:3782|loc:3785
composite:joined-k19-3601,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-3601,K19,קליה,קליה,QALYA,3601|3786,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,3601,1,confirmed,exact_eligible_arithmetic,אבנת,AVENAT,loc:3601|loc:3786
composite:joined-k19-3619,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-3619,K19,רועי,רועי,RO'I,3619|3646,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,3619,,confirmed,exact_eligible_arithmetic,חמדת,HEMDAT,loc:3619|loc:3646
composite:joined-k19-4201,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-4201,K19,מג'דל שמס,מג'דל שמס,MAJDAL SHAMS,4201|4502,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,4201,,confirmed,exact_eligible_arithmetic,עין קנייא,EIN QINIYYE,loc:4201|loc:4502
composite:joined-k19-4301,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-4301,K19,אפיק,אפיק,AFIQ,4301|4019,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,4301,,confirmed,exact_eligible_arithmetic,מיצר,MEZAR,loc:4301|loc:4019
composite:joined-k19-7800,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-7800,K19,פרדס חנה-כרכור,פרדס חנה-כרכור,PARDES HANNA-KARKUR,7800|926,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,7800,,confirmed,exact_eligible_arithmetic,נווה אבות,NEWE AVOT,loc:7800|loc:926
composite:joined-k19-9200,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k19-9200,K19,בית שאן,בית שאן,BET SHE'AN,9200|1154,,Archived polling registers exactly reconcile to the published host eligible-voter total.,joined_polling_register,9200,17,confirmed,exact_eligible_arithmetic,מלכישוע,MALKISHUA,loc:9200|loc:1154
composite:joined-k20-13,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k20-13,K20,חצבה,חצבה,HAZEVA,13|1053|1187,,The official K20 polling-location row explicitly places each attached register in the host locality.,joined_polling_register,13,,confirmed,explicit_source_location,עין חצבה|עיר אובות,EN HAZEVA|IR OVOT,loc:13|loc:1053|loc:1187
composite:joined-k20-47,composite_locality,composite_localities,geographies/composite_localities.zip,composite:joined-k20-47,K20,כפר תבור,כפר תבור,KEFAR TAVOR,47|371,,The official K20 polling-location row explicitly places each attached register in the host locality.,joined_polling_register,47,,confirmed,explicit_source_location,כדורי,KADOORIE,loc:47|loc:371
